Time,X,Y,Z
143.9,0,41.24374501,13.44070813
144,0,41.14496766,13.36881039
144.1,0,41.04606497,13.29708517
144.2,0,40.94703725,13.22553267
144.3,0,40.84788479,13.15415312
144.4,0,40.74860791,13.08294673
144.5,0,40.6492069,13.01191372
144.6,0,40.54968206,12.9410543
144.7,0,40.45003371,12.87036869
144.8,0,40.35026213,12.79985712
144.9,0,40.25036764,12.72951978
145,0,40.15035054,12.6593569
145.1,0,40.05021114,12.58936869
145.2,0,39.94994974,12.51955536
145.3,0,39.84956664,12.44991713
145.4,0,39.74906215,12.3804542
145.5,0,39.64843658,12.3111668
145.6,0,39.54769024,12.24205512
145.7,0,39.44682343,12.17311939
145.8,0,39.34583645,12.1043598
145.9,0,39.24472962,12.03577658
146,0,39.14350324,11.96736992
146.1,0,39.04215763,11.89914004
146.2,0,38.94069309,11.83108715
146.3,0,38.83910992,11.76321145
146.4,0,38.73740845,11.69551315
146.5,0,38.63558897,11.62799246
146.6,0,38.53365181,11.56064957
146.7,0,38.43159726,11.4934847
146.8,0,38.32942564,11.42649806
146.9,0,38.22713727,11.35968984
147,0,38.12473245,11.29306024
147.1,0,38.0222115,11.22660948
147.2,0,37.91957472,11.16033776
147.3,0,37.81682243,11.09424526
147.4,0,37.71395495,11.02833221
147.5,0,37.61097258,10.96259879
147.6,0,37.50787565,10.89704521
147.7,0,37.40466446,10.83167167
147.8,0,37.30133932,10.76647837
147.9,0,37.19790057,10.7014655
148,0,37.0943485,10.63663327
148.1,0,36.99068343,10.57198187
148.2,0,36.88690568,10.50751149
148.3,0,36.78301558,10.44322234
148.4,0,36.67901342,10.37911461
148.5,0,36.57489953,10.3151885
148.6,0,36.47067423,10.25144419
148.7,0,36.36633783,10.18788189
148.8,0,36.26189066,10.12450179
148.9,0,36.15733302,10.06130408
149,0,36.05266524,9.998288951
149.1,0,35.94788764,9.935456599
149.2,0,35.84300054,9.872807215
149.3,0,35.73800425,9.810340988
149.4,0,35.6328991,9.74805811
149.5,0,35.52768541,9.685958769
149.6,0,35.42236349,9.624043155
149.7,0,35.31693367,9.562311458
149.8,0,35.21139626,9.500763863
149.9,0,35.1057516,9.43940056
150,0,35,9.378221735
150.1,0,34.89414178,9.317227575
150.2,0,34.78817727,9.256418264
150.3,0,34.68210679,9.195793989
150.4,0,34.57593066,9.135354935
150.5,0,34.46964921,9.075101284
150.6,0,34.36326275,9.015033222
150.7,0,34.25677162,8.95515093
150.8,0,34.15017614,8.895454591
150.9,0,34.04347663,8.835944388
151,0,33.93667342,8.7766205
151.1,0,33.82976683,8.71748311
151.2,0,33.72275719,8.658532397
151.3,0,33.61564482,8.599768541
151.4,0,33.50843006,8.54119172
151.5,0,33.40111322,8.482802114
151.6,0,33.29369463,8.424599899
151.7,0,33.18617463,8.366585254
151.8,0,33.07855354,8.308758355
151.9,0,32.97083169,8.251119379
152,0,32.8630094,8.1936685
152.1,0,32.755087,8.136405894
152.2,0,32.64706482,8.079331735
152.3,0,32.5389432,8.022446197
152.4,0,32.43072246,7.965749454
152.5,0,32.32240293,7.909241678
152.6,0,32.21398493,7.85292304
152.7,0,32.10546881,7.796793714
152.8,0,31.99685489,7.74085387
152.9,0,31.88814351,7.685103677
153,0,31.77933498,7.629543307
153.1,0,31.67042965,7.574172928
153.2,0,31.56142785,7.518992708
153.3,0,31.4523299,7.464002817
153.4,0,31.34313615,7.409203421
153.5,0,31.23384692,7.354594688
153.6,0,31.12446254,7.300176783
153.7,0,31.01498336,7.245949873
153.8,0,30.9054097,7.191914123
153.9,0,30.79574189,7.138069697
154,0,30.68598028,7.084416759
154.1,0,30.57612519,7.030955473
154.2,0,30.46617696,6.977686002
154.3,0,30.35613592,6.924608507
154.4,0,30.24600242,6.871723152
154.5,0,30.13577678,6.819030096
154.6,0,30.02545934,6.7665295
154.7,0,29.91505044,6.714221524
154.8,0,29.80455041,6.662106327
154.9,0,29.69395959,6.610184069
155,0,29.58327832,6.558454907
155.1,0,29.47250694,6.506919
155.2,0,29.36164577,6.455576503
155.3,0,29.25069517,6.404427573
155.4,0,29.13965546,6.353472367
155.5,0,29.02852699,6.302711039
155.6,0,28.91731009,6.252143744
155.7,0,28.8060051,6.201770636
155.8,0,28.69461237,6.151591868
155.9,0,28.58313223,6.101607594
156,0,28.47156502,6.051817965
156.1,0,28.35991107,6.002223134
156.2,0,28.24817074,5.952823251
156.3,0,28.13634437,5.903618466
156.4,0,28.02443228,5.854608931
156.5,0,27.91243482,5.805794793
156.6,0,27.80035234,5.757176202
156.7,0,27.68818518,5.708753306
156.8,0,27.57593367,5.660526252
156.9,0,27.46359816,5.612495187
157,0,27.35117899,5.564660258
157.1,0,27.23867651,5.51702161
157.2,0,27.12609105,5.469579389
157.3,0,27.01342296,5.422333738
157.4,0,26.90067259,5.375284802
157.5,0,26.78784027,5.328432724
157.6,0,26.67492634,5.281777647
157.7,0,26.56193117,5.235319713
157.8,0,26.44885508,5.189059063
157.9,0,26.33569842,5.142995839
158,0,26.22246154,5.09713018
158.1,0,26.10914478,5.051462227
158.2,0,25.99574849,5.005992118
158.3,0,25.88227301,4.960719993
158.4,0,25.76871869,4.915645988
158.5,0,25.65508587,4.870770241
158.6,0,25.5413749,4.82609289
158.7,0,25.42758613,4.781614069
158.8,0,25.31371991,4.737333915
158.9,0,25.19977657,4.693252562
159,0,25.08575647,4.649370145
159.1,0,24.97165995,4.605686798
159.2,0,24.85748737,4.562202652
159.3,0,24.74323906,4.518917842
159.4,0,24.62891539,4.475832498
159.5,0,24.51451669,4.432946753
159.6,0,24.40004331,4.390260736
159.7,0,24.28549561,4.347774577
159.8,0,24.17087393,4.305488407
159.9,0,24.05617862,4.263402353
160,0,23.94141003,4.221516545
160.1,0,23.82656851,4.179831109
160.2,0,23.71165442,4.138346173
